,Group name,Total
1,Dolphins,0.009
2,Pelagic piscivorous fish,0.091
3,Demersal fish,
4,Small pelagic fish,0.182
5,Aurelia,
6,Mnemiopsis,
7,Zooplankton,
8,Noctiluca,
9,Phytoplankton,
10,Detritus,
