,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Dolphins,1,0.091,,0.35,19,0.296,,,,
2,Pelagic piscivorous fish,1,0.27,,0.55,5,0.995,,,,
3,Demersal fish,1,1.1,,0.63,1.5,0.791,,,,
4,Small pelagic fish,1,4.891,,1.5,11,0.618,,,,
5,Aurelia,1,56,,11,29.2,0,,,,
6,Mnemiopsis,1,821,,11,,0,,,,
7,Zooplankton,1,6.75,,44,345,0.992,,,,
8,Noctiluca,1,9.2,,7.3,36.2,0,,,,
9,Phytoplankton,1,19.5,,291,,0.23,,,,
10,Detritus,1,,,,,0.183,,,,
